Inscricao,Media
19117650,94.15
19117891,91.06
19124255,90.19
19127123,89.04
19122706,84.57
19118403,79.12
19144423,77.55
19104137,77.26
19125294,77.16
19135313,74.08
19112998,71.70
19116926,71.20
19114523,70.21
19125209,69.99
19137704,69.69
19138738,69.48
19136278,66.97
19119736,66.95
19130845,66.01
19126338,65.60
19125164,63.69
19129212,63.45
19137124,62.21
19113934,61.22
19119987,60.99
19124067,60.70
19144748,58.54
19124664,58.07
19115708,57.81
19137064,57.54
19119506,57.39
19127801,57.19
19139057,56.78
19128603,56.23
19130821,54.42
19103911,54.19
19124818,53.99
19138105,53.18
19119175,52.84
19101803,52.66
19105552,51.87
19139729,51.67
19136993,51.34
19125856,51.17
19132471,50.34
19130562,49.79
19137962,49.72
19119813,49.55
19126427,48.98
19103659,47.84
19121726,47.56
19124734,46.68
19106425,46.36
19102429,46.34
19106352,46.04
19117776,45.92
19138634,45.79
19141181,45.73
19103658,45.64
19102779,45.14
19140596,45.04
19138514,43.96
19129955,43.65
19110805,43.40
19125096,43.28
19103507,43.13
19138802,43.10
19138548,42.48
19125616,41.98
19121124,41.96
19125351,40.72
19128095,40.42
19122765,40.34
19133642,40.26
19140902,40.16
19138444,40.09
19129126,39.96
19131208,39.39
19106984,39.37
19125560,38.96
19141022,38.24
19106499,37.71
19130535,37.38
19126603,36.82
19137897,36.64
19130068,36.15
19124577,35.83
19137705,35.35
19135643,35.27
19117742,35.12
19142464,34.94
19135825,34.86
19117544,34.76
19132831,34.62
19106934,34.26
19135161,34.16
19113824,34.05
19116750,33.43
19125341,32.66
19124951,32.56
19122333,32.44
19124102,31.69
19132451,30.30
19123033,29.60
19137691,29.26
19128393,28.85
19111239,28.74
19136992,28.35
19140972,27.92
19104499,27.62
19140988,27.19
19111678,26.77
19137697,26.63
19116152,26.48
19144962,26.30
19128956,25.92
19111066,25.61
19139011,25.58
19106451,25.26
19124507,25.00
19140049,24.98
19132125,24.53
19113559,24.41
19131530,24.30
19118612,23.75
19117863,23.60
19137110,22.86
19130658,22.20
19136387,21.76
19140871,20.18
19102752,20.07
19138228,19.69
19103770,19.57
19113265,19.45
19102360,18.74
19117970,18.54
19116236,18.18
19102777,17.02
19139804,16.90
19138536,16.20
19122719,16.06
19108532,15.84
19122271,15.37
19136315,15.27
19113959,14.66
19111221,14.52
19113463,13.66
19136151,12.69
19106224,12.68
19138767,12.07
19124821,11.39
19112796,10.88
19119459,4.60
19127686,3.42
